style_number,pattern,style_type,color,style_name,accessory1,wash_care,mrp
16007,641,Skirt,Black,Lycra houndstooth long skirt,Elastic,Hand Wash,4595
16006,519,Dress,Purple,Qurvii womens lavender Organza party dress .,Zips,Dry Clean Only,5395
16005,621,Dress,Lavender Blush,Lavender blush Silk Organza party dress,Metal Rings,Dry Clean Only,6095
16004,518,Shirt,Caramel,Caramel french crepe half placket shirt,Buttons,Hand Wash,2895
16003,519,Dress,White,White with big yellow polkasummer dress,Zips,Machine Wash,3995
16002,519,Dress,Mint Green,Mint green paisely maxi summer dress,Zips,Machine Wash,4595
16001,720,Shirt,Black,Black and White colorblock stripe shirt,Buttons,Machine Wash,2995
16000,10139,Dress,Sky Blue,Sky blue polka georgette A line dress,,Machine Wash,3295
15099,518,Shirt,Turquoise,Qurvii Women Turquoise half placket party shirt,Buttons,Hand Wash,3395
15098,603,Dress,Turquoise,Turquoise flowy silhoute faux wrap around maxi party dress,Zips,Hand Wash,4595
15097,539,Dress,Sea Green,Elegant v-neck Party dress with 3/4 sleeves,Zips,Machine Wash,4295
15096,518,Shirt,Multi,Qurvii women Multi abstract print half placket shirt,Buttons,Machine Wash,2795
15095,518,Shirt,Neon Yellow,Neon Yellow abstract print half placket shirt,Buttons,Machine Wash,2795
15094,519,Dress,White,White with big Pink polka summer dress,Zips,Machine Wash,3995
15093,493,Shirt,Wine,Wine and white striped flap collar shirt,Buttons,Machine Wash,2695
15092,692,Kaftan,Sea Green,Sea Green digital print resort kaftan,,Machine Wash,2595
15091,10139,Dress,Black,black floral net dress,,Machine Wash,3395
15090,10142,Shrug,Multi,Multi colourTropical print shrug,,Machine Wash,2595
15089,710,Shirt,Black,Black floral drop shoulder collar shirt,Buttons,Machine Wash,3395
15088,721,Shirt,Multi,Neon Multi geometric print shirt.,Buttons,Machine Wash,2695
15087,10139,Dress,Pink,Pink paisely A line dress,,Machine Wash,3995
15086,711,Dress,Black,Solid black Lycra slim fit strech dress,,Hand Wash,3095
15085,10142,Shrug,Green,green tropical print shrug,,Machine Wash,2595
15084,10142,Shrug,Black,Black gold swiss dot shrug,,Hand Wash,2995
15083,10139,Dress,Burgundy,Burgundy Floral net A line dress,,Hand Wash,3195
15082,711,Dress,Red,Red Rib Slim Fit strech dress,,Hand Wash,3595
15081,10139,Dress,Ivory,Ivory floral net A line dress,,Hand Wash,3195
15080,10139,Dress,Green,Green Flloral netA line dress,,Hand Wash,3195
15079,10139,Dress,Lavender,Lavender floral A line dress,,Hand Wash,3295
15078,10139,Dress,Navy,navy polka dress,,Machine Wash,3295
15077,712,Shirt,Turquoise,Turquoise blue full placket shirt with full cuff sleeves,Buttons,Machine Wash,3195
,,,,,,,
15076,714,Top,Green,Pista Green rayon v-neck top,,Machine Wash,2895
15075,518,Shirt,Pink,Pink rayon half placket shirt,Buttons,Machine Wash,3095
15074,710,Shirt,Green,Tropical print Resort shirt,Buttons,Machine Wash,2595
15073,721,Shirt,Multi,big multicolor polka shirt,Buttons,Machine Wash,2595
,,,,,,,
15072,518,Shirt,Gray,Grey solid half placket shirt,Fusing,Hand Wash,3095
15071,695,Top,Olive,olive floral georgette V-neck top,,Machine Wash,2595
15070,10142,Shrug,Navy,Navy stripe shrug,,Machine Wash,2595
15069,710,Shirt,Navy,navy stripe shirt,Buttons,Machine Wash,2995
15068,710,Shirt,Beige,beige stripe shirt,Buttons,Machine Wash,2995
15067,710,Shirt,Pink,onion Pink plaid shirt,Buttons,Machine Wash,2995
15066,710,Shirt,Teal Green,Teal green plaid shirt,Buttons,Machine Wash,2995
15065,10139,Dress,Turquoise,Turquoise abstract print dress,,Machine Wash,3395
15064,518,Shirt,Turquoise,Turquoise abstract print half placket shirt,Buttons,Machine Wash,2895
15063,708,Top,Black,black polka drop shoulder top,,Machine Wash,2495
15062,423,Top,Black,Mix media solid tunic,,Hand Wash,2995
15061,518,Shirt,Multi,Multi geometric print shirt,Buttons,Machine Wash,2795
15060,10142,Shrug,Multi,Multi geometric print shrug,,Machine Wash,2595
15059,560,Dress,Red,Red small polka dress,Buttons,Machine Wash,3695
15058,623,Kaftan,Neon Green,neon green tropical print kaftan top,,Machine Wash,2795
15057,695,Top,White,white polka georgette V-neck top,,Machine Wash,2595
15056,514,Shirt,Green,green and white stripe with mandrain collar top and bell sleeves,Buttons,Machine Wash,2895
15055,10139,Dress,Pink,A-line pink polka georgette dress,,Machine Wash,3495
15054,10139,Dress,Pink,A-line pink swiss dot georgette dress,,Machine Wash,3495
15053,10139,Dress,Sky Blue,A-line sky blue floral georgette V neck dress,,Machine Wash,3495
15052,562,Top,Pink,pink and white stripe crepe top,,Machine Wash,2495
15051,610,Top,Wine,Wine and white stripe v-neck top,,Machine Wash,2495
15050,692,Kaftan,Wine,Wine floral below knee length kaftan with tassels,,Machine Wash,2495
15049,610,Top,Red,red polka dot v-neck top with kimono sleeves.,,Machine Wash,2395
15048,704,Shirt,Other,Pista green collar half placket shirt,Buttons,Machine Wash,3495
15047,704,Shirt,Blue,Royal blue collar half placket shirt,Buttons,Machine Wash,3495
15046,704,Shirt,Green,Emerald green collar half placket shirt,Buttons,Machine Wash,3595
15045,692,Kaftan,Magenta,Magenta Peach big floral print,Tassale,Machine Wash,2595
15044,654,Dress,Navy,Kimono dress,,Machine Wash,3395
15043,654,Dress,Maroon,Kimono dress,,Machine Wash,3395
15042,654,Dress,Fucia,Kimono dress,,Machine Wash,2995
15041,518,Shirt,Black,Black gold swiss dot shirt,Buttons,Machine Wash,3095
15040,10139,Dress,Lavender,Lavender swiss dott dress,,Machine Wash,3495
15039,10139,Dress,Maroon,Maroon swiss dot A-line dress,,Machine Wash,3495
15038,795,Dress,Pink,Pink abstract water color print A-line dress,,Machine Wash,3695
15037,10139,Dress,Pink,Pink floral abstract print dress,,Machine Wash,3395
15036,692,Kaftan,White,White Neon floral kftan dress,,Machine Wash,2495
15035,519,Dress,Beige,Beige floral Faux Wrap Around Dress,Zips,Machine Wash,3995
15034,795,Dress,Pink,Pink A-line dress,,Machine Wash,3395
15033,10139,Dress,Wine,Wine floral A line dress,,Machine Wash,3695
15032,518,Top,Navy,Navy half placket shirt,Buttons,Hand Wash,3895
15031,10139,Dress,Red,A-line red dress,,Hand Wash,4795
15030,700,Dress,Olive,Olive colour Shirt dress,Buttons,Machine Wash,3495
15029,700,Dress,Turquoise,Pleated Shirt dress,Buttons,Hand Wash,6195
15028,519,Dress,Ivory,Ivory floral Faux wrap around dress,Zips,Machine Wash,3795
15027,692,Kaftan,Red,Summer floral kaftan dress with tassales,Tassale,Machine Wash,2595
15026,692,Kaftan,White,Zebra floral print kaftan dress,Tassale,Machine Wash,2595
15025,692,Kaftan,Other,Summer floral kaftan with tassels,Tassale,Machine Wash,2595
15024,695,Top,Navy,Navy and white floral top,Fusing,Machine Wash,3095
15023,694,Top,Black,Noritake silk wrao-around top,,Hand Wash,4395
15022,695,Top,Mint Green,Leapard print top,Fusing,Machine Wash,3095
15021,518,Top,Beige,Leopard print satin top,,Machine Wash,3095
15020,562,Top,Turquoise,Noritake silk v-neck top,,Hand Wash,3995
15019,699,Top,Purple,Purple georgette cold shoulder top,,Hand Wash,3395
15018,698,Kaftan,Black,Black georgette kaftan shirt,Fusing,Hand Wash,3095
15017,706,Top,Navy,Cold shoulder navy net top,,Hand Wash,3895
15016,697,Top,Red,Red Top,Zips,Machine Wash,2695
15015,702,Shirt,Black,Black stripes shirt,Buttons,Machine Wash,2895
15014,701,Shirt,Black,Black stripe shirt,Buttons,Machine Wash,2895
15013,703,Shirt,Navy,Navy stripe shirt,Buttons,Machine Wash,2895
15012,696,Top,Teal,Teal loop button top,Buttons,Machine Wash,2795
15011,413,Top,Turquoise,Turquoise blue silk top,Buttons,Hand Wash,3695
15010,692,Kaftan,Blue,Blue printed kaftan,Tassale,Machine Wash,2495
15009,10139,Dress,Mint Green,Mint green floral georgette A-line dress,,Machine Wash,3795
15008,413,Top,Orange,Orange silk top,Buttons,Hand Wash,3595
15007,695,Top,Ivory,Off white silk baloon sleeve top,,Hand Wash,3595
15006,660,Top,Other,Sea green top,Lace,Hand Wash,2995
15005,660,Top,Black,Black top,Lace,Hand Wash,2695
15004,694,Top,Maroon,Maroon rayon wrap-around top,,Machine Wash,3195
15003,518,Top,Magenta,Magenta silk half placket top,,Hand Wash,3995
15002,638,Shirt,Peach,Orange Burfi full placket shirt,Buttons,Hand Wash,4195
15001,638,Shirt,Red,Red silk full placket shirt,Buttons,Hand Wash,4495
15000,518,Top,Red,Red silk half placket top,Buttons,Hand Wash,4095
14099,518,Top,Red,Red silk half placket top,Buttons,Hand Wash,4095
14098,695,Top,Peach,Peach V-neck baloon sleeve top,Elastic,Machine Wash,2595
14097,673,Top,Gray,Gray silk front tie top,Buttons,Hand Wash,2995
14096,692,Kaftan,Navy,Navy blue and yellow floral kaftan,Tassale,Machine Wash,2395
14095,641,Skirt,Black,Solid black fleece long skirt,Zips,Hand Wash,4295
14094,689,Jacket,Black,Solid black fleece long jacket,Fusing,Hand Wash,3395
14093,614,Dress,Black,Black sequins schiffli party dress,,Hand Wash,4395
14092,692,Kaftan,Green,Mint green floral kaftan,Tassale,Hand Wash,2395
14091,640,Poncho,Black,Black plaid poncho,,Hand Wash,4495
14090,683,Jacket,Black,Black and white houndstooth short poncho style jacket,Buttons,Hand Wash,7195
14089,685,Jacket,Brown,Brown plaid long jacket,Buttons,Hand Wash,7595
14088,685,Jacket,Black,Black plaid long jacket,Buttons,Hand Wash,8195
14087,686,Jacket,Black,Solid black short jacket,Lace,Hand Wash,5895
14086,689,Jacket,Black,Black and white Houndstooth long jacket,,Hand Wash,9595
14085,689,Jacket,Gray,Solid light gray fleece long jacket,,Hand Wash,3595
14084,680,Top,Yellow,Mustard off- shoulder pleated top,Elastic,Hand Wash,2895
14083,692,Kaftan,Orange,Orange floral kaftan,Tassale,Machine Wash,2395
14082,692,Kaftan,Rust,Mustard floral kaftan,Tassale,Machine Wash,2395
14081,692,Kaftan,Black,Black and white floral kaftan,,Machine Wash,2295
14080,693,Dress,Red,Red abstract print dress,Zips,Machine Wash,3495
14079,688,Top,Bronze,Metallic bronze silk V-neck top,,Hand Wash,3595
14078,678,Shrug,White,Multi-color abstract print long shrug,,Machine Wash,2295
14077,677,Shrug,Red,Red abstract print shrug,,Machine Wash,2295
14076,678,Shrug,Navy,Navy-yellow floral print shrug,,Machine Wash,2495
14075,10139,Dress,Black,Abstract print A-line dress,,Machine Wash,2895
14074,679,Shirt,Burgundy,Leopard print shirt,Buttons,Machine Wash,2795
14073,518,Top,Brown,Leopard print half placket top,Buttons,Machine Wash,2595
14072,518,Top,Purple,Purple half placket top,Buttons,Machine Wash,2595
14071,677,Shrug,Blue,Blue abstract print long shrug,,Machine Wash,2495
14070,691,Top,Red,Red pleated top,,Hand Wash,2795
14069,562,Top,Black,Black floral top,,Machine Wash,2495
14068,518,Top,Blue,Swiss dot half placket shirt,Buttons,Machine Wash,3295
14067,518,Top,Black,Snake print half placket shirt,Buttons,Machine Wash,2395
14066,679,Shirt,Brown,Leopard print shirt,Buttons,Machine Wash,2795
14065,678,Shrug,Blue,Swiss dot long shrug,,Machine Wash,3195
14064,678,Shrug,Brown,Snake print long shrug,,Machine Wash,2495
14063,670,Top,Magenta,Magenta ruffle flutter sleeve top,,Machine Wash,2095
14062,670,Top,Black,Black ruffle flutter sleeve top,,Machine Wash,2095
14061,678,Shrug,Gray,Gray marble print shrug,,Machine Wash,2495
14060,614,Dress,Maroon,Maroon Sequins Schiffli Party Dress,,Hand Wash,3895
14059,614,Dress,Green,Green Sequins Schiffli Party Dress,,Hand Wash,3895
14058,678,Shrug,White,Multi floral shrug,Lace,Machine Wash,2495
14057,10142,Shrug,Maroon,Maroon and White stripe shrug,,Machine Wash,2495
14056,668,Top,Teal,Pleated Teal Tie Top,Buttons,Hand Wash,3095
14055,668,Top,Maroon,Pleated Magenta Tie Top,,Hand Wash,3995
14054,10142,Shrug,Black,Black and White Stripe shrug,,Machine Wash,2495
14053,10142,Shrug,Navy,Navy and White Stripe shrug,,Machine Wash,2495
14052,678,Shrug,Multi,Multi floral shrug,,Machine Wash,2495
14051,665,Top,Blue,Blue floral crop top,Zips,Machine Wash,2095
14050,671,Top,Lavender,Lavender pleated top,,Hand Wash,3095
14049,663,Plazzo,Blue,Blue printed palazzo,Zips,Machine Wash,2595
14048,675,Dress,Black,Square neck short dress,,Hand Wash,3095
14047,677,Shrug,Blue,Blue floral print shrug,,Machine Wash,2495
14046,673,Top,Pink,Pink floral tie top,Buttons,Machine Wash,2395
14045,673,Top,Bronze,Silk floral tie top,Buttons,Hand Wash,2995
14044,674,Poncho,Blue,Blue Stylish Kimono Kaftan,,Machine Wash,2495
14043,674,Poncho,Magenta,Magenta Stylish Kimono Kaftan,,Machine Wash,2495
14042,669,Top,Mint Green,Mint green Swiss Dot Lace Top,Lace,Hand Wash,2695
14041,667,Top,White,White Cold Shoulder Ruffle Top,,Machine Wash,2495
14040,668,Top,Yellow,Pleated Mustard Tie Top,,Hand Wash,3395
14039,667,Top,Sea Green,Cold Shoulder Floral top,,Machine Wash,2495
14038,10142,Shrug,Orange,Orange floral shrug,,Machine Wash,2495
14037,10142,Shrug,Pink,Pink floral shrug,,Machine Wash,2495
14036,10142,Shrug,Orange,Orange Silky Shrug,,Dry Clean Only,3595
14035,664,Dress,Orange,Orange Silky A Line Dress,,Dry Clean Only,5395
14034,10139,Dress,Hot Pink,Pink A-Line Silky Dress,,Dry Clean Only,5395
14033,10142,Shrug,Brown,Black And Brown Leopard Print Shrug,,Machine Wash,2395
14032,666,Dress,Brown,Black And Brown Tiger Print Dress,Zips,Machine Wash,3195
14031,661,Dress,Blue,White And Blue Stripe Cold Shoulder Lace Dress,Lace,Hand Wash,5595
14030,665,Top,Peach,Peach Floral Crop Top,Zips,Machine Wash,2095
14029,10139,Dress,Brown,Tiger Print A-line Dress,,Machine Wash,3695
14028,10142,Shrug,Magenta,Silk Colorblock Shrug,,Dry Clean Only,3795
14027,10142,Shrug,Turquoise,Silk Colorblock Shrug,,Dry Clean Only,3795
14026,662,Top,White,White Lace Top,Lace,Dry Clean Only,2895
14025,10142,Shrug,Green,Green Tropical Print Beachy Shrug,,Machine Wash,2495
14024,413,Top,Orange,Orange Silk V-neck Top,Buttons,Hand Wash,3495
14023,366,Top,Pink,Pink And White Stripe Top,Lace,Machine Wash,2595
14022,623,Kaftan,Peach,Peach Floral Crepe Kaftan Top,,Machine Wash,2495
14021,518,Shirt,Black,Black Satin Shirt,Buttons,Dryclean Only,3695
14020,663,Plazzo,Peach,Peach Floral Printed Plazzo,Elastic,Machine Wash,2695
14019,10142,Shrug,Peach,Peach Floral Shrug,,Machine Wash,2395
14018,659,Shirt,Royal Blue,Royal Blue Colorblock Silk Shirt,Buttons,Hand Wash,3595
14017,10135,Dress,Mint Green,Floral Hi-low Dress,Zips,Machine Wash,4295
14016,659,Shirt,Turquoise,Colorblock Silk Shirt,Buttons,Hand Wash,3695
14015,672,Shirt,Blue,Blue Camouflage Print Shirt,Buttons,Machine Wash,2595
14014,10139,Dress,Mint Green,Mint Green A- Line Floral Dress,,Machine Wash,3795
14013,664,Dress,Lime Green,Lime Green Silky A Line Dress,,Dryclean Only,5395
14012,650,Dress,Mint Green,Mint Green Floral Mini Dress,,Machine Wash,3495
14011,518,Top,Neon Lemon Yellow,Lemon Yellow Half Placket Top,Button,Dryclean Only,3595
13084,643,Dress,Navy,Shirt Dress,Buttons,Machine Wash,4295
13083,648,Dress,Blue,Blue Floral Dress,Buttons,Machine Wash,2795
13082,518,Top,Blue,Blue And White Floral Top,Buttons,Machine Wash,2295
13081,10139,Dress,Mauve,Mauve Solid A- Line Dress With Scarf,,Machine Wash,2895
13080,413,Top,White,White And Navy Striped Floral Top,,Machine Wash,2195
13079,652,Top,Red,Red Floral Top,,Machine Wash,2795
13078,542,Dress,White,White And Navy Striped Floral Shirt Dress,Buttons,Machine Wash,2495
13077,795,Dress,Multi,A-line Floral Dress,,Machine Wash,2795
13076,10142,Shrug,Brown,Animal Print Shrug,,Machine Wash,2395
13075,562,Top,Blue,Blue And White Floral Top,Lace,Machine Wash,2495
13074,649,Dress,Magenta,One Sided Off-shoulder Ruffle Dress,Zips,Machine Wash,3395
13073,10139,Dress,Pink,Pink Floral Ruffle Dress,Lace,Machine Wash,3095
13072,10139,Dress,Sea Green,Sea Green Silk A-line Dress,,Dry Clean Only,3395
13071,10139,Dress,Wine,Wine Georgette A-line Dress With Bell Sleeve,,Dry Clean Only,3895
13070,10139,Dress,Pink,Hot Pink A Line Silk Dress,,Dry Clean Only,3795
13069,758,Dress,Pink,Colorblock A Line Silk Dress,,Dry Clean Only,3395
13068,10139,Dress,Pink,Polka Dot A Line Midi Dress,,Machine Wash,2995
13067,656,Dress,Pink,Ruffle Pink Polka Dot Short Dress,Zips,Machine Wash,3095
13066,10142,Shrug,Mint Green,Tie And Dye Green Shrug,,Machine Wash,2495
13065,10142,Shrug,Cameo Brown,Leopard Print Shrug,,Machine Wash,2395
13064,619,Shrug,Yellow,Yellow Floral Shrug,,Machine Wash,2795
13063,654,Dress,Pink,Floral Pink Ruffle Dress,Zips,Machine Wash,4095
13062,654,Dress,Gray,Gray Kimono Short Dress,,Machine Wash,2795
13061,647,Dress,Lavender,Lavender Hi Low Ruffle Dress,Zips,Machine Wash,4295
13060,652,Top,Mauve,Mauve Key Hole Georgette Top,Buttons,Machine Wash,3195
13059,10139,Dress,Orange,Floral Orange A-line Dress,,Machine Wash,3395
13058,480,Top,Peach,Peach Polka top,,Machine Wash,2495
13057,562,Top,Red,Red Mesh Bell Sleeve Top,,Machine Wash,2795
13056,514,Top,Magenta,Magenta Stripe Top,Buttons,Machine Wash,2495
13055,651,Dress,Orange,Orange Floral Maxi Dress,Zips,Machine Wash,3995
13054,657,Dress,Magenta,Pink Off Shoulder Ruffle Dress,,Machine Wash,2495
13053,519,Dress,Pink,Pink Polka Maxi Dress,,Machine Wash,4095
13052,620,Jump Suit,Lavender,Lilac Jumpsuit,,Machine Wash,4795
13051,620,Jump Suit,Maroon,Wine Jumpsuit,,Machine Wash,4095
13050,620,Jump Suit,Black,Black Jumpsuit,,Machine Wash,4095
13049,631,Skirt,Blue,Navy Polka Short Skirt,Zips,Machine Wash,2395
13048,625,Top,Blue,Navy Polka Off Shoulder Ruffle Top,Zips,Machine Wash,1995
13047,646,Top,Orange,Orange Swiss Dot Top,Buttons,Machine Wash,2195
13046,562,Top,Black,Black Floral Bell Sleeve Top,,Machine Wash,2495
13045,631,Skirt,Burgundy,Burgundy Polka Short Skirt,Zips,Machine Wash,2395
13044,625,Top,Burgundy,Burgundy Off Shoulder Polka Top,Zips,Machine Wash,1995
13043,519,Dress,Magenta,Magenta Party Maxi Dress,Lace,Dry Clean Only,3995
13042,650,Dress,Red,Red Floral Mini Dress,,Machine Wash,2795
13041,660,Top,Lavender,Lavender Top,Lace,Hand Wash,3095
13040,640,Poncho,Black,Black Plaid Poncho,,Dry Clean Only,4295
13039,640,Poncho,Red,Red Plaid Poncho,,Dry Clean Only,4295
13038,640,Poncho,Black,Black Poncho,,Dry Clean Only,3895
13037,640,Poncho,Red,Red Poncho,,Dry Clean Only,3895
13036,636,Dress,Black,Black Floral Dess,,Machine Wash,2295
13035,10139,Dress,Yellow,A Line Floral Midi Dress,,Machine Wash,3095
13034,641,Skirt,Gray,Long Skirt,Metal zip,Dry Clean Only,4295
13033,626,Dress,Magenta,Long Dress,Zips,Machine Wash,3295
13032,626,Dress,Green,Long Dress,Zips,Machine Wash,2995
13031,640,Poncho,Black,Black Poncho,,Machine Wash,4295
13030,640,Poncho,Gray,Charcoal grey poncho,,Dry Clean Only,5195
13029,640,Poncho,Gray,Grey Poncho,,Machine Wash,4295
13028,544,Kaftan,Black,Black Color Kaftan,Other,Machine Wash,2895
13027,544,Kaftan,Turquoise,Turquoise Kaftan Dress,Metal Rings,Machine Wash,2895
13026,544,Kaftan,Magenta,Magenta Kaftan Dress,Metal Rings,Machine Wash,2895
13025,544,Kaftan,Gray,Grey Color Kaftan,Metal Rings,Machine Wash,2895
13024,413,Top,Black,black pleated top,,Machine Wash,2895
13023,623,Kaftan,Multi,Multi Short Kaftan,,Machine Wash,2995
13022,493,Top,Black,black flap top,Buttons,Machine Wash,2695
13021,621,Dress,Burgundy,Burgundy Leopard Print Dress,Elastic,Machine Wash,2595
13020,621,Dress,Black,Black Polka Dress,Elastic,Machine Wash,2495
13019,621,Dress,Black,Black Stripe Dress,Elastic,Machine Wash,2595
13018,562,Top,Navy,Blue Polka Dott,,Machine Wash,2295
13017,562,Top,Gray,Gray Floral Top,,Machine Wash,2995
13016,558,Top,Gold,Gold Satin Top,Buttons,Dry Clean Only,2795
13014,621,Dress,Black,Floral Black Dress,,Machine Wash,2595
13013,621,Dress,Burgundy,Polka Dot Dress,,Machine Wash,2595
13012,10142,Shrug,Burgundy,Leopard Print Shrug,Lace,Machine Wash,2795
13011,636,Dress,Pink,Pink Floral Dress,,Machine Wash,2295
13010,544,Kaftan,Multi,Multi Color Kaftan,Metal Rings,Machine Wash,2495
13009,623,Kaftan,Blue,Blue And White Kaftan /coverup,,Machine Wash,2195
13008,622,Dress,Black,Floral Long Dress,Zips,Machine Wash,2695
13007,512,Tunic,Blue,Navy Striped Peasant Top,Buttons,Machine Wash,2395
13006,10139,Dress,Multi,V Neck Striped Swing Dress,,Machine Wash,3495
13005,512,Top,Burgundy,Leopard Print Peasant Top,,Machine Wash,2395
13004,562,Top,Burgundy,Leopard Print Swing Top,,Machine Wash,2395
13003,518,Top,Black,Black Mandrain Collar Polka Top,Buttons,Machine Wash,2495
13002,562,Top,Black,Bell Sleeve Black Polka Top,,Machine Wash,2295
13001,536,Dress,Black,Black Satin Party Dress,Zips,Dry Clean Only,3395
13000,603,Dress,Maroon,Maroon Satin Party Dress,Zips,Machine Wash,3895
12099,512,Top,White,White Peasant Red Tassel Top,Lace,Machine Wash,3095
12098,512,Top,White,White Peasant Multi Tassel Top,Lace,Machine Wash,3195
12096,622,Dress,Black,Black Long Dress,Zips,Machine Wash,2495
12095,626,Dress,Black,Black Solid Long Dress,Zips,Machine Wash,3095
12094,627,Skirt,Bronze,Brown printed skirt,Zips,Machine Wash,2495
12093,627,Skirt,Black,Black Solid Skirt,Zips,Machine Wash,2295
12092,10104,Dress,Navy,Navy Pink Polka Dress,Zips,Machine Wash,2295
12091,10104,Dress,Orange,Mustard Polka Box Pleated Dress,Zips,Machine Wash,2295
12090,619,Dress,Black,Black sold tiered dress,Buttons,Machine Wash,3895
12089,601,Kaftan,Navy,Rayon printed kaftan,,Machine Wash,2695
12088,621,Dress,Burgundy,Red Floral Off Shoulder Dress,,Machine Wash,2495
12087,614,Dress,Gray,Grey Marble Print Tunic Dress,Buttons,Machine Wash,2395
12086,614,Dress,Green,Green floral tunic dress,,Hand Wash,3295
12085,619,Shrug,Black,Black Women Shrug,,Machine Wash,2695
12082,624,Dress,White,Floral Print Dress,Buttons,Machine Wash,3295
12081,623,Kaftan,Green,Tie And Dye Green Kaftan Top,,Machine Wash,2495
12079,619,Shrug,Olive,Olive Women Shrug,,Machine Wash,2695
12078,512,Top,Yellow,Yellow Floral Print Peasant Top,,Machine Wash,2095
12077,493,Top,Maroon,Maroon Flap Shirt,Buttons,Machine Wash,2595
12076,625,Top,Burgundy,Burgundy Polka Crop Top,Other,Machine Wash,1895
12075,628,Skirt,Burgundy,Burgundy A-Line polka skirt,Zips,Machine Wash,2295
12074,420,Top,Green,Emerald Green Asymmetrical Hem Top,,Machine Wash,2195
12073,10142,Shrug,Black,Black Geometric Print Shrug,Lace,Machine Wash,2395
12072,10139,Dress,Pink,A Line Floral Midi Dress,,Machine Wash,3195
12071,10142,Shrug,White,White Geometric Print Shrug,Lace,Machine Wash,2295
12070,562,Top,Burgundy,Burgundy Polka Swing Top,,Machine Wash,2295
12069,10142,Shrug,Multi,Multi Colour Mid Length Shrug,,Machine Wash,2095
12068,10142,Shrug,Blue,Floral Georgette Mid Length Shrug,,Machine Wash,2095
12067,632,Dress,Red,Red Party Dress,,Machine Wash,3495
12066,611,Top,Black,Black Swiss Dot Top,Buttons,Machine Wash,2695
12065,562,Top,Navy,Navy Blue Top,,Machine Wash,2295
12064,617,Top,Black,Black Off Shoulder Top,,Machine Wash,2095
12063,493,Top,Black,Black Flap Shirt,Buttons,Machine Wash,2595
12062,632,Dress,Black,Black Party Dress,,Machine Wash,3495
12061,536,Dress,Black,Black Polka Long Dress,Zips,Machine Wash,3995
12060,544,Kaftan,Other,Pista Green Kaftan,Other,Machine Wash,3195
12059,493,Top,Rust,Rust Oranger Flap Shirt,Buttons,Machine Wash,2595
12058,512,Top,Rust,Polka Gather Neck Top,,Machine Wash,2295
12057,519,Dress,Black,Polka Maxi Dress,,Machine Wash,3495
12056,631,Skirt,Multi,Short Length Skirt,Zips,Machine Wash,2195
12055,493,Top,White,Small Polka Flap Shirt,Buttons,Machine Wash,2995
12054,493,Top,Black,Black Flap Top,Buttons,Machine Wash,2595
12053,493,Top,Navy,Navy Blue Flap Top,Buttons,Machine Wash,2595
12052,544,Kaftan,Yellow,Mustard Kaftan,Other,Machine Wash,2795
12051,601,Kaftan,Yellow,Mustard Colour Kaftan,Other,Machine Wash,2695
12050,614,Dress,Gray,Grey Floral Tunic Dress,,Machine Wash,3195
12049,542,Dress,Wine,Shirt Dress,Buttons,Machine Wash,2495
12048,601,Kaftan,Teal,Teal Kaftan,Metal Rings,Machine Wash,2795
12047,612,Skirt,Multi,Multi Color Long Skirt,Zips,Machine Wash,2195
12046,610,Top,Black,Black Crepe With Yoke Top,Zips,Machine Wash,1795
12045,613,Top,Pink,Pink Gathered Top,Zips,Machine Wash,2195
12044,530,Dress,Red,Cotton Sinker Jersey Dress,Elastic,Machine Wash,3995
12043,480,Top,Black,Black Ruffle Top,,Machine Wash,2395
12042,556,Top,Red,"Crepe Top With Ballon Sleeves, Ruffles On V Neck",Buttons,Machine Wash,2395
12041,602,Top,Peach,Moss Crepe Shirt With Collars,Buttons,Machine Wash,2395
12040,601,Kaftan,Black,Black Moss Crepe Kaftan Top,Other,Machine Wash,2995
12039,562,Top,Black,Black Floral Crepe Top With Bell Sleeves,,Machine Wash,2195
12038,10142,Shrug,Black,Black-peach floral shrug,,Machine Wash,2495
12037,557,Top,Yellow,Crepe Top,,Machine Wash,2195
12036,600,Skirt,Black,Black Georgette Skirt,Buttons,Machine Wash,2795
12035,600,Skirt,White,White Ggt Skirt,Zips,Machine Wash,2495
12033,560,Dress,Black,Black Small Polka Dress,Other,Machine Wash,3595
12032,544 base pattern (New-692),Kaftan,Multi,Pink floral print georgette kaftan,Tassale,Machine Wash,2395
12031,561,Shrug,Black,Purple/orange Floral Print Georgette Mid Length Kaftan,Tassale,Machine Wash,2495
12030,559,Top,Orange,Orange Booty Top,Elastic,Machine Wash,2395
12027,562,Top,Black,Black Top With Mesh On Bell Sleeves,,Machine Wash,2295
12026,562,Top,White,Crepe Top With Bell Sleeves,,Machine Wash,2295
12024,10104,Dress,Black,Black Box Pleat Dress,Zips,Hand Wash,3395
12023,604,Plazzo,Black,Moss Crepe Palazzo,Zips,Machine Wash,2895
12022,555,Shrug,Orange,Orange Printed Overlay,,Machine Wash,2495
12021,588,Top,Black,Black Satin Tie Top,Buttons,Machine Wash,2895
12020,544,Kaftan,Green,Kaftan Dress With Metal Rings,Metal Rings,Hand Wash,2895
12018,10139,Dress,Red,Red Polka Dress,,Machine Wash,2695
12017,529,Shrug,Black,Black Jersey Shrug,Buttons,Hand Wash,3495
12016,529,Shrug,Yellow,Mustard Jersey Shrug,Buttons,Hand Wash,7195
